epoch,attack_mode,train_adv_loss,train_adv_acc,epoch_seconds,lr_start,lr_end,val_clean_acc,val_fgsm_acc,val_pgd10_acc,collapse_triggered,rolled_back_to_epoch,monitor_batches
1,fgsm_rs,2.308935858323839,0.14951111111111112,32.292227900004946,0.0,0.026590909090909096,0.3086,0.2375,0.2296875,0,,10
2,fgsm_rs,2.0312633287641737,0.23344444444444445,30.558508899994195,0.02666666666666667,0.05325757575757576,0.3858,0.27578125,0.271875,0,,10
3,fgsm_rs,1.9374249731699626,0.2691777777777778,30.475050800014287,0.05333333333333334,0.07992424242424243,0.4198,0.27734375,0.27265625,0,,10
4,fgsm_rs,1.8552837019178603,0.2992666666666667,30.501061699935235,0.08000000000000002,0.1065909090909091,0.4884,0.29453125,0.2859375,0,,10
5,fgsm_rs,1.7919825250201755,0.3208666666666667,30.549755200045183,0.10666666666666667,0.13325757575757577,0.4998,0.30703125,0.296875,0,,10
6,fgsm_rs,1.7299610032187567,0.34226666666666666,30.684450400061905,0.13333333333333333,0.1599242424242424,0.5128,0.30703125,0.2984375,0,,10
7,fgsm_rs,1.6779842912885878,0.3629777777777778,30.625197699991986,0.16000000000000003,0.1865909090909091,0.5618,0.3390625,0.32109375,0,,10
8,fgsm_rs,1.6413696258332995,0.37293333333333334,30.47819970001001,0.18666666666666668,0.18674242424242424,0.622,0.36171875,0.33671875,0,,10
9,fgsm_rs,1.580304936175876,0.3970444444444444,30.410132999997586,0.18666666666666668,0.16007575757575757,0.6042,0.3703125,0.33671875,0,,10
10,fgsm_rs,1.5271395140753852,0.4198222222222222,30.337901099934243,0.16000000000000003,0.1334090909090909,0.6324,0.39375,0.36640625,0,,10
11,fgsm_rs,1.4800299853854708,0.4333111111111111,30.327489099930972,0.13333333333333336,0.10674242424242425,0.671,0.40859375,0.37734375,0,,10
12,fgsm_rs,1.4184683690388997,0.4562222222222222,30.708248700015247,0.10666666666666669,0.08007575757575758,0.67,0.40625,0.3796875,0,,10
13,fgsm_rs,1.357236181555854,0.481,30.895868199993856,0.07999999999999999,0.05340909090909092,0.7104,0.44609375,0.40234375,0,,10
14,fgsm_rs,1.276239960225423,0.5085111111111111,30.67013660003431,0.05333333333333332,0.02674242424242426,0.765,0.459375,0.42578125,0,,10
15,fgsm_rs,1.1718920610004002,0.5442888888888889,30.421647800016217,0.02666666666666666,7.575757575759568e-05,0.7806,0.4953125,0.44140625,0,,10
