epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,pgd2,2.1600864617241755,0.1934,nan,nan,nan,nan,nan,nan,nan,nan,43.29607669997495,0.0,0.019943181818181818,nan,nan,0.3644,0.23984375,0,,,,0,0.0,43.29607669997495,8.64000210002996,11.31606549990829,0
2,pgd2,1.9010161607318454,0.28071111111111113,nan,nan,nan,nan,nan,nan,nan,nan,42.66987380001228,0.02,0.039943181818181815,nan,nan,0.4054,0.253125,0,,,,0,0.0,42.66987380001228,8.69320819992572,11.223693000036292,0
3,pgd2,1.803459334309896,0.31693333333333334,nan,nan,nan,nan,nan,nan,nan,nan,42.859021199983545,0.04,0.05994318181818181,nan,nan,0.4658,0.2875,0,,,,0,0.0,42.859021199983545,8.571691800025292,11.445651400019415,0
4,pgd2,1.7052080482059055,0.34931111111111113,nan,nan,nan,nan,nan,nan,nan,nan,43.60649030003697,0.06,0.07994318181818182,nan,nan,0.533,0.278125,0,,,,0,0.0,43.60649030003697,8.208120899973437,11.110297800041735,0
5,pgd2,1.6201573885599772,0.38593333333333335,nan,nan,nan,nan,nan,nan,nan,nan,42.80108330002986,0.08,0.0999431818181818,nan,nan,0.5512,0.30703125,0,,,,0,0.0,42.80108330002986,8.033708899980411,11.041040499927476,0
6,pgd2,1.5640859072579278,0.4078222222222222,nan,nan,nan,nan,nan,nan,nan,nan,42.564103099983186,0.09999999999999999,0.11994318181818181,nan,nan,0.6212,0.33515625,0,,,,0,0.0,42.564103099983186,8.259215400088578,11.020875199930742,0
7,pgd2,1.5275949421564738,0.41657777777777777,nan,nan,nan,nan,nan,nan,nan,nan,42.776118899928406,0.12,0.13994318181818183,nan,nan,0.6376,0.33359375,0,,,,0,0.0,42.776118899928406,8.018156199948862,11.381797699956223,0
8,pgd2,1.4965899301317003,0.4328666666666667,nan,nan,nan,nan,nan,nan,nan,nan,42.61891169997398,0.13999999999999999,0.15994318181818182,nan,nan,0.6452,0.33984375,0,,,,0,0.0,42.61891169997398,8.347628599964082,11.406177600030787,0
9,pgd2,1.484355784840054,0.43824444444444444,nan,nan,nan,nan,nan,nan,nan,nan,43.123470599995926,0.16,0.17994318181818184,nan,nan,0.6694,0.3546875,0,,,,0,0.0,43.123470599995926,8.461440099985339,12.042834099964239,0
10,pgd2,1.4775124470180936,0.4399111111111111,nan,nan,nan,nan,nan,nan,nan,nan,43.39734980009962,0.18,0.19994318181818183,nan,nan,0.6646,0.3421875,0,,,,0,0.0,43.39734980009962,8.213641699985601,11.257834400050342,0
11,pgd2,1.4829676249398125,0.4392666666666667,nan,nan,nan,nan,nan,nan,nan,nan,42.85553489997983,0.19999999999999998,0.21994318181818182,nan,nan,0.6242,0.3421875,0,,,,0,0.0,42.85553489997983,8.254326099995524,11.132057099952362,0
12,pgd2,1.4825377365112304,0.4399777777777778,nan,nan,nan,nan,nan,nan,nan,nan,42.738465899950825,0.21999999999999997,0.2399431818181818,nan,nan,0.642,0.33671875,0,,,,0,0.0,42.738465899950825,8.011292799958028,11.206981500028633,0
13,pgd2,1.4861496331744724,0.438,nan,nan,nan,nan,nan,nan,nan,nan,42.563262199983,0.24,0.2599431818181818,nan,nan,0.638,0.3234375,0,,,,0,0.0,42.563262199983,8.179682399961166,11.330914900056086,0
14,pgd2,1.4979535074869792,0.43433333333333335,nan,nan,nan,nan,nan,nan,nan,nan,42.90291810000781,0.26,0.2799431818181818,nan,nan,0.6076,0.328125,0,,,,0,0.0,42.90291810000781,8.274622000055388,11.407699799980037,0
