epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,pgd2,2.1650805088467067,0.19204444444444443,nan,nan,nan,nan,nan,nan,nan,nan,43.65714130003471,0.0,0.019943181818181818,nan,nan,0.366,0.24140625,0,,,,0,0.0,43.65714130003471,8.453959800070152,11.390925299958326,0
2,pgd2,1.9113291923734876,0.2760444444444444,nan,nan,nan,nan,nan,nan,nan,nan,43.06850059994031,0.02,0.039943181818181815,nan,nan,0.404,0.25,0,,,,0,0.0,43.06850059994031,8.981625000014901,11.407021200051531,0
3,pgd2,1.8209908854166668,0.3090888888888889,nan,nan,nan,nan,nan,nan,nan,nan,42.6866408000933,0.04,0.05994318181818181,nan,nan,0.4934,0.290625,0,,,,0,0.0,42.6866408000933,8.13714180001989,11.353955499944277,0
4,pgd2,1.7119805145263671,0.3474888888888889,nan,nan,nan,nan,nan,nan,nan,nan,42.72302010003477,0.06,0.07994318181818182,nan,nan,0.5492,0.30859375,0,,,,0,0.0,42.72302010003477,8.138350699911825,11.266556999995373,0
5,pgd2,1.6380986444049412,0.3758888888888889,nan,nan,nan,nan,nan,nan,nan,nan,42.829738400061615,0.08,0.0999431818181818,nan,nan,0.6012,0.33671875,0,,,,0,0.0,42.829738400061615,8.39790650003124,11.053568199975416,0
6,pgd2,1.5721480190065171,0.4026222222222222,nan,nan,nan,nan,nan,nan,nan,nan,42.79982569999993,0.09999999999999999,0.11994318181818181,nan,nan,0.6198,0.32421875,0,,,,0,0.0,42.79982569999993,8.601920500048436,11.441906500025652,0
7,pgd2,1.5276988122092352,0.41744444444444445,nan,nan,nan,nan,nan,nan,nan,nan,42.92427289998159,0.12,0.13994318181818183,nan,nan,0.639,0.35078125,0,,,,0,0.0,42.92427289998159,8.403873799950816,11.365015199990012,0
8,pgd2,1.5006582339816623,0.42891111111111113,nan,nan,nan,nan,nan,nan,nan,nan,43.07177679997403,0.13999999999999999,0.15994318181818182,nan,nan,0.6336,0.33984375,0,,,,0,0.0,43.07177679997403,8.17406160000246,11.23166879999917,0
9,pgd2,1.4830927290810478,0.43653333333333333,nan,nan,nan,nan,nan,nan,nan,nan,42.90722930000629,0.16,0.17994318181818184,nan,nan,0.6556,0.35625,0,,,,0,0.0,42.90722930000629,8.167234399938025,11.025709800072946,0
10,pgd2,1.4761618768692018,0.44293333333333335,nan,nan,nan,nan,nan,nan,nan,nan,42.529242099961266,0.18,0.19994318181818183,nan,nan,0.644,0.36015625,0,,,,0,0.0,42.529242099961266,8.105927299940959,11.20922730001621,0
11,pgd2,1.4861370748519898,0.43637777777777775,nan,nan,nan,nan,nan,nan,nan,nan,42.82582949998323,0.19999999999999998,0.21994318181818182,nan,nan,0.6252,0.284375,0,,,,0,0.0,42.82582949998323,8.45764770009555,11.395522599923424,0
12,pgd2,1.478871952650282,0.43793333333333334,nan,nan,nan,nan,nan,nan,nan,nan,42.86934390000533,0.21999999999999997,0.2399431818181818,nan,nan,0.6422,0.35390625,0,,,,0,0.0,42.86934390000533,8.036446999991313,11.457385600078851,0
13,pgd2,1.4923664655049642,0.43655555555555553,nan,nan,nan,nan,nan,nan,nan,nan,42.94761379994452,0.24,0.2599431818181818,nan,nan,0.6334,0.33515625,0,,,,0,0.0,42.94761379994452,8.514317899942398,11.397384600015357,0
14,pgd2,1.4896714330885146,0.4380888888888889,nan,nan,nan,nan,nan,nan,nan,nan,42.79013300000224,0.26,0.2799431818181818,nan,nan,0.6024,0.3125,0,,,,0,0.0,42.79013300000224,8.134368499973789,11.413156899972819,0
15,pgd2,1.497213635190328,0.43448888888888887,nan,nan,nan,nan,nan,nan,nan,nan,42.792185699916445,0.27999999999999997,0.2999431818181818,nan,nan,0.6294,0.31484375,0,,,,0,0.0,42.792185699916445,8.126905499957502,11.065288200043142,0
16,pgd2,1.494589073032803,0.4367333333333333,nan,nan,nan,nan,nan,nan,nan,nan,42.84749680000823,0.3,0.2800568181818182,nan,nan,0.6346,0.2984375,0,,,,0,0.0,42.84749680000823,8.07402479997836,11.014779400080442,0
17,pgd2,1.4722312907748751,0.4448666666666667,nan,nan,nan,nan,nan,nan,nan,nan,42.90409440000076,0.27999999999999997,0.2600568181818182,nan,nan,0.6522,0.37109375,0,,,,0,0.0,42.90409440000076,8.378239899990149,11.264538699993864,0
18,pgd2,1.446393361070421,0.4560444444444444,nan,nan,nan,nan,nan,nan,nan,nan,42.959797300049104,0.26,0.2400568181818182,nan,nan,0.65,0.33828125,0,,,,0,0.0,42.959797300049104,8.435611100052483,11.372445399989374,0
19,pgd2,1.429414109272427,0.46057777777777775,nan,nan,nan,nan,nan,nan,nan,nan,42.66041220002808,0.24,0.22005681818181821,nan,nan,0.665,0.38046875,0,,,,0,0.0,42.66041220002808,8.657860700041056,11.462299500009976,0
20,pgd2,1.4082002207862006,0.46813333333333335,nan,nan,nan,nan,nan,nan,nan,nan,42.923203799990006,0.22,0.20005681818181814,nan,nan,0.69,0.3515625,0,,,,0,0.0,42.923203799990006,8.111078700050712,11.322810799931176,0
21,pgd2,1.3824205740398832,0.4749555555555556,nan,nan,nan,nan,nan,nan,nan,nan,42.57399219996296,0.2,0.18005681818181815,nan,nan,0.6798,0.37890625,0,,,,0,0.0,42.57399219996296,8.243955600075424,11.246946099912748,0
22,pgd2,1.3567448392020331,0.4843777777777778,nan,nan,nan,nan,nan,nan,nan,nan,42.597872699960135,0.18000000000000002,0.16005681818181816,nan,nan,0.7,0.378125,0,,,,0,0.0,42.597872699960135,8.054293300025165,11.23794280004222,0
23,pgd2,1.323818208079868,0.49855555555555553,nan,nan,nan,nan,nan,nan,nan,nan,42.526904099970125,0.16000000000000003,0.14005681818181817,nan,nan,0.7058,0.40625,0,,,,0,0.0,42.526904099970125,8.373073099995963,11.62536209996324,0
24,pgd2,1.2924190123875936,0.5082222222222222,nan,nan,nan,nan,nan,nan,nan,nan,43.07456149999052,0.13999999999999996,0.12005681818181817,nan,nan,0.7238,0.4109375,0,,,,0,0.0,43.07456149999052,8.333946899976581,11.213439699960873,0
25,pgd2,1.2551900094562107,0.5225777777777778,nan,nan,nan,nan,nan,nan,nan,nan,42.72044090006966,0.11999999999999997,0.10005681818181818,nan,nan,0.7164,0.40078125,0,,,,0,0.0,42.72044090006966,8.731808500015177,11.214295899961144,0
26,pgd2,1.2126111948649088,0.5362222222222223,nan,nan,nan,nan,nan,nan,nan,nan,42.77114810002968,0.09999999999999998,0.08005681818181817,nan,nan,0.7674,0.41875,0,,,,0,0.0,42.77114810002968,8.160931600024924,10.95568130002357,0
27,pgd2,1.166071624798245,0.552,nan,nan,nan,nan,nan,nan,nan,nan,42.53825290000532,0.07999999999999997,0.06005681818181818,nan,nan,0.7762,0.41484375,0,,,,0,0.0,42.53825290000532,8.196368200005963,11.203623500070535,0
28,pgd2,1.1050744817097982,0.5758222222222222,nan,nan,nan,nan,nan,nan,nan,nan,42.77600499999244,0.059999999999999984,0.040056818181818186,nan,nan,0.7892,0.45859375,0,,,,0,0.0,42.77600499999244,8.30536849994678,11.43881630001124,0
29,pgd2,1.0269357773039076,0.6034444444444444,nan,nan,nan,nan,nan,nan,nan,nan,42.9455935000442,0.03999999999999999,0.020056818181818193,nan,nan,0.8052,0.4640625,0,,,,0,0.0,42.9455935000442,8.451718299998902,11.264188700006343,0
30,pgd2,0.9327917882389493,0.6365333333333333,nan,nan,nan,nan,nan,nan,nan,nan,42.91117129998747,0.019999999999999993,5.681818181819675e-05,nan,nan,0.8222,0.47265625,0,,,,0,0.0,42.91117129998747,8.647982500027865,11.471191599965096,0
