epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,fgsm_zero,2.321911714808146,0.13651111110581293,0.3014266933772299,0.5694143915918138,0.23160000000132455,0.2725188414706124,0.9143413897832234,0.03137257695198059,0.17764516396654978,0.8517167263878717,35.70752100000391,0.0,0.019943181818181818,352,1,0.3126,0.24375,0,,,,0,0.0,35.70752100000391,8.86757370000123,12.2225621999969,0
2,fgsm_zero,2.0720819084591335,0.21931111110581292,0.8690782306141324,0.8030555035273234,0.20015555557674833,0.22334281487729815,0.9170870921134949,0.03137257695198059,0.07445070211225085,0.7527713368415833,34.277868100005435,0.02,0.039943181818181815,352,1,0.36,0.2421875,0,,,,0,0.0,34.277868100005435,8.658804399994551,11.670207100003609,0
3,fgsm_zero,1.9905833055072362,0.24617777778042688,0.8837482935799492,0.8232248979568482,0.21437777777777778,0.24763458672099642,0.9181620425860088,0.03137257694602013,0.06084273494217131,0.7284224608209398,34.288604100001976,0.04,0.05994318181818181,352,1,0.4102,0.25703125,0,,,,0,0.0,34.288604100001976,9.267998000010266,12.419589799988898,0
4,fgsm_zero,1.9218664699342516,0.2735555555767483,0.8838126215934753,0.8312143790245056,0.23020000001324548,0.280458559290568,0.918487344731225,0.03137257695198059,0.0576040047135618,0.7242076745880974,32.98302069999045,0.06,0.07994318181818182,352,1,0.4462,0.290625,0,,,,0,0.0,32.98302069999045,8.358410500004538,12.708638500000234,0
5,fgsm_zero,1.8750966437869603,0.29033333331743877,0.8781143096923828,0.830634425216251,0.23664444445768992,0.30541942003038197,0.9190338743739658,0.03137257695198059,0.05531490084528923,0.7246437820116679,32.86310439999215,0.08,0.0999431818181818,352,1,0.4512,0.28046875,0,,,,0,0.0,32.86310439999215,8.284778799992637,11.49715290000313,0
6,fgsm_zero,1.8271182736290825,0.30895555556615195,0.8692679275194803,0.8259405573738946,0.2512222222328186,0.33577403599421185,0.9209865646256341,0.03137257695198059,0.054134109220239854,0.7272957018534343,32.54519560000335,0.09999999999999999,0.11994318181818181,352,1,0.4634,0.275,0,,,,0,0.0,32.54519560000335,8.28340100000787,11.227193799990346,0
7,fgsm_zero,1.775215730773078,0.3258444444656372,0.8607036265161302,0.8206841051101684,0.26535555554760826,0.36129879717297025,0.9206849103609721,0.03137257694602013,0.05500282329784499,0.7317313767009311,34.50827229999413,0.12,0.13994318181818183,352,1,0.5164,0.3375,0,,,,0,0.0,34.50827229999413,8.843328199989628,11.643866900005378,0
8,fgsm_zero,1.7367229722764757,0.34140000002649096,0.8501357169045343,0.8149919611612956,0.26606666665607026,0.37777642416424223,0.9210757789611816,0.03137257695198059,0.05248573571576012,0.7286423310809665,33.74809670000104,0.13999999999999999,0.15994318181818182,352,1,0.5474,0.31875,0,,,,0,0.0,33.74809670000104,8.665688599998248,11.860602899992955,0
9,fgsm_zero,1.69593692618476,0.35426666668256124,0.8380810494105021,0.8089563636461894,0.2784222222275204,0.3882597989506192,0.9199109418445164,0.03137257695198059,0.04999536367985937,0.7242936212539672,34.603456700002425,0.16,0.17994318181818184,352,1,0.5536,0.33046875,0,,,,0,0.0,34.603456700002425,8.833543600005214,12.045176999992691,0
10,fgsm_zero,1.680607672437032,0.35764444444974264,0.8261464472346836,0.8067346777492099,0.2857555555449592,0.3933746461868286,0.9188673972235786,0.03137257695198059,0.04920353964699639,0.7219462286101447,34.02494179998757,0.18,0.19994318181818183,352,1,0.533,0.31875,0,,,,0,0.0,34.02494179998757,8.45143790000293,11.461623700000928,0
11,fgsm_zero,1.6667320482889811,0.36271111110051474,0.816531931591034,0.804442186694675,0.2857777777777778,0.39523979440265233,0.9194722272131178,0.03137257695198059,0.046273370862669416,0.7161967922528585,33.938383199987584,0.19999999999999998,0.21994318181818182,352,1,0.573,0.30859375,0,,,,0,0.0,33.938383199987584,8.438159999990603,11.812316700001247,0
12,fgsm_zero,1.6640519083446927,0.36555555553966096,0.8127210959222582,0.8052181186464098,0.2826888888994853,0.4006181004948086,0.9180768000072903,0.03137257695198059,0.04487235412398974,0.712991568130917,33.702136699997936,0.21999999999999997,0.2399431818181818,352,1,0.6038,0.353125,0,,,,0,0.0,33.702136699997936,8.336858499998925,11.89039739999862,0
13,fgsm_zero,1.6631242333306206,0.36773333332803515,0.8135693546295166,0.8047146613544888,0.2843111111111111,0.4022332965268029,0.9183225611156888,0.03137257695198059,0.042491312070025336,0.7077613219896952,33.956649899992044,0.24,0.2599431818181818,352,1,0.5726,0.315625,0,,,,0,0.0,33.956649899992044,8.440761900012149,11.851949999996577,0
14,fgsm_zero,1.6666998697492812,0.3651333333598243,0.8089747099664476,0.8048167032347785,0.2823555555555556,0.4023163942813873,0.918478521601359,0.03137257695198059,0.04181617051694128,0.7056156111505296,34.211005399993155,0.26,0.2799431818181818,352,1,0.5592,0.340625,0,,,,0,0.0,34.211005399993155,8.609601400006795,11.794240199989872,0
15,fgsm_zero,1.6639527425342135,0.36493333331743877,0.8067776910993788,0.803454670185513,0.28704444444444444,0.40708409480518765,0.9196407103008694,0.03137257695198059,0.04205147909720739,0.7067120634714762,34.06485239999893,0.27999999999999997,0.2999431818181818,352,1,0.5184,0.31328125,0,,,,0,0.0,34.06485239999893,8.935453800004325,11.534706600010395,0
16,fgsm_zero,1.6601005923800998,0.36593333333333333,0.8055186543570625,0.8026583536783855,0.28540000002119276,0.4079976372453902,0.920264994430542,0.03137257695198059,0.042132956255144544,0.706841372903188,33.89032679999946,0.3,0.2800568181818182,352,1,0.5682,0.325,0,,,,0,0.0,33.89032679999946,8.881418699995265,12.17998259999149,0
17,fgsm_zero,1.628358063422309,0.37977777779897054,0.7969550724135505,0.7982370722346835,0.28911111112700566,0.41487415420744156,0.9187958471722073,0.03137257695198059,0.04044498320023219,0.7026772404776679,35.1102583000029,0.27999999999999997,0.2600568181818182,352,1,0.6258,0.34921875,0,,,,0,0.0,35.1102583000029,8.767857400001958,12.222656600002665,0
18,fgsm_zero,1.6132509625540838,0.3874000000105964,0.7953704498185051,0.7967808717197842,0.28728888891537985,0.4205328734503852,0.9208886712180243,0.03137257695198059,0.04025263421800401,0.7022513540161981,34.33424670000386,0.26,0.2400568181818182,352,1,0.628,0.365625,0,,,,0,0.0,34.33424670000386,9.364187599989236,11.595972499999334,0
19,fgsm_zero,1.5841076499091253,0.3981555555502574,0.7839017574840121,0.7919471629142761,0.290577777783076,0.426982554075453,0.9185954331503974,0.03137257695198059,0.04063365269766914,0.7044781784163581,33.864062900000135,0.24,0.22005681818181821,352,1,0.6216,0.34140625,0,,,,0,0.0,33.864062900000135,8.42347019999579,11.658062599992263,0
20,fgsm_zero,1.5685047974480524,0.4025555555767483,0.7809379306263394,0.7909880553245544,0.2943777777777778,0.4309539861679077,0.9192703246222602,0.03137257695198059,0.038139104194773565,0.6974003298865424,33.926336700009415,0.22,0.20005681818181814,352,1,0.6392,0.3671875,0,,,,0,0.0,33.926336700009415,8.417155300005106,11.487996399999247,0
21,fgsm_zero,1.5419836338043214,0.4106222222222222,0.7709852437867059,0.784751922692193,0.2908222222222222,0.4339697031550937,0.9183868909729852,0.03137257695198059,0.03703057316144307,0.6945335218111675,34.058367300007376,0.2,0.18005681818181815,352,1,0.6502,0.38984375,0,,,,0,0.0,34.058367300007376,8.853409799994552,12.042767599996296,0
22,fgsm_zero,1.5142624283472697,0.4214666666560703,0.7637046311908298,0.7798336722162035,0.29408888890478346,0.441415697505739,0.9188714470757379,0.03137257695198059,0.03681472091012531,0.6943664636505975,35.07581759999448,0.18000000000000002,0.16005681818181816,352,1,0.6586,0.3765625,0,,,,0,0.0,35.07581759999448,8.424710799998138,12.040615199992317,0
23,fgsm_zero,1.4893819661458334,0.42904444444974266,0.7580531705538431,0.7787093881077236,0.2955777777618832,0.4427074333190918,0.9192139523824056,0.03137257695198059,0.03652406296133995,0.6936528767797682,33.95463929999096,0.16000000000000003,0.14005681818181817,352,1,0.6766,0.38046875,0,,,,0,0.0,33.95463929999096,8.902312799997162,12.018651599995792,0
24,fgsm_zero,1.4570055199940999,0.4389333333174388,0.7440790494812859,0.7706848008155823,0.29768888891537987,0.4479332082324558,0.9172008661799961,0.03137257695198059,0.033470351063542896,0.6844904994752672,35.078701200007345,0.13999999999999996,0.12005681818181817,352,1,0.6534,0.3703125,0,,,,0,0.0,35.078701200007345,9.340199300000677,12.250497700006235,0
25,fgsm_zero,1.41603481748369,0.4537111111111111,0.727180179394616,0.7622587651252747,0.29739999998410543,0.44962404272821216,0.916529192437066,0.03137257695198059,0.03292178636656867,0.68293749071757,34.250661500002025,0.11999999999999997,0.10005681818181818,352,1,0.6922,0.37265625,0,,,,0,0.0,34.250661500002025,8.561806600002456,11.678042100000312,0
26,fgsm_zero,1.1375750929196675,0.570777777809567,0.3450090197356211,0.6413982625749376,0.2165111111137602,0.30487024943828583,0.9160655293782552,0.03137257695198059,0.032291148232089145,0.6786848476409912,35.96219099999871,0.09999999999999998,0.08005681818181817,352,1,0.7184,0.021875,1,26,8980,8800,0,0.0,35.96219099999871,8.394299100007629,11.823250800007372,0
27,fgsm_zero,0.5345079427613152,0.8186444444444444,0.0042656973322232564,0.5024895838419596,0.17395555556615194,-0.2010393307659361,0.9134230227152507,0.03137257695198059,0.055778881255785624,0.7417702608002557,34.561505500008934,0.07999999999999997,0.06005681818181818,352,1,0.7504,0.0,0,26,8980,,0,0.0,34.561505500008934,8.740062000011676,12.017004400011501,0
28,fgsm_zero,0.3264930640962389,0.8928666666878594,0.007895656990673808,0.5010763611104754,0.18268888889948526,-0.33405618175930446,0.9142171547783746,0.03137257695198059,0.05300097010135651,0.7442283583005269,34.24460750000435,0.059999999999999984,0.040056818181818186,352,1,0.779,0.0,0,26,8980,,0,0.0,34.24460750000435,9.054160799991223,12.331570700000157,0
