epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,fgsm_zero,2.2083612901899548,0.181555555539661,0.02915950657427311,0.5290150430785285,0.2410000000026491,0.22652717289659713,0.9147373896492852,0.03137257694602013,0.11843891533613204,0.7864963851928711,33.51683700000285,0.0,0.019943181818181818,352,1,0.28,0.0859375,0,,,,0,0.0,33.51683700000285,8.826789600003394,11.83256789999723,0
2,fgsm_zero,1.8652463859770032,0.297622222243415,0.06676590760813819,0.5731056980662875,0.1961777777618832,0.1399937227010727,0.9162921224806044,0.03137257695198059,0.07015452375279532,0.7335066482861837,32.732087299998966,0.02,0.039943181818181815,352,1,0.3124,0.07578125,0,,,,0,0.0,32.732087299998966,8.650630200005253,11.557115299990983,0
3,fgsm_zero,1.6599332030826144,0.3797999999894036,0.03609436466437247,0.5454419692251418,0.2134222222248713,0.11843864979876412,0.9172756702952914,0.03137257695198059,0.06581800377368927,0.7338130112965902,32.404412100004265,0.04,0.05994318181818181,352,1,0.271,0.02734375,0,,,,0,0.0,32.404412100004265,8.663870299991686,11.826883999994607,0
4,fgsm_zero,1.465581767103407,0.46168888892067805,0.021944761851761075,0.5286976032363044,0.20404444444179534,0.11681687780353758,0.9161966270552742,0.03137257695198059,0.05769399762749672,0.7247924237251282,32.91848339998978,0.06,0.07994318181818182,352,1,0.3176,0.034375,0,,,,0,0.0,32.91848339998978,8.720907099996111,12.212189099998795,0
5,fgsm_zero,1.265935555352105,0.5410000000529819,0.016276629037658374,0.5187148914019267,0.19335555555290646,0.11236369873550203,0.9153031807157729,0.03137257695198059,0.04631190449529224,0.7038564088927375,33.02719169999182,0.08,0.0999431818181818,352,1,0.462,0.03828125,0,,,,0,0.0,33.02719169999182,8.370854000007967,12.288514800005942,0
6,fgsm_zero,1.0809170907338461,0.6112444444656372,0.022069684090879227,0.5154826070361668,0.1775999999973509,0.09021952225897047,0.914080741765764,0.03137257695198059,0.04560204219288296,0.7051595570352343,32.75781709999137,0.09999999999999999,0.11994318181818181,352,1,0.4336,0.02109375,0,,,,0,0.0,32.75781709999137,8.99004530000093,12.017158900009235,0
7,fgsm_zero,1.0059879941834344,0.6461777777777777,0.03327325234628386,0.5132981714990404,0.19562222222222223,0.05622545164955987,0.9135283040682475,0.03137257695198059,0.0479212705310848,0.7124182894388834,32.81670569999551,0.12,0.13994318181818183,352,1,0.3676,0.00078125,0,,,,0,0.0,32.81670569999551,8.465442599990638,11.479501299996627,0
8,fgsm_zero,0.8520803361256918,0.7083555555555555,0.04724339123583502,0.5131365112781525,0.2858666666878594,-0.23029400446414947,0.9121292145199246,0.03137257695198059,0.03208889615270827,0.6756333421177334,32.47539440001128,0.13999999999999999,0.15994318181818182,352,1,0.589,0.00390625,0,,,,0,0.0,32.47539440001128,8.574024600005941,12.188741299993126,0
9,fgsm_zero,0.9474136222733391,0.6683333333227369,0.04771976393428114,0.5234731939580706,0.19066666668256124,0.012132705979877048,0.9141455651389228,0.03137257695198059,0.03863106582827038,0.6987099652184381,32.43305180000607,0.16,0.17994318181818184,352,1,0.4308,0.00234375,0,,,,0,0.0,32.43305180000607,8.7162432000041,12.24082149998867,0
10,fgsm_zero,0.7754798847410413,0.741466666677263,0.030949461124754614,0.5108757040977479,0.24084444443649716,-0.2128665069182714,0.9131519297281901,0.03137257695198059,0.028876565157042608,0.6782150314437019,32.921842800002196,0.18,0.19994318181818183,352,1,0.5244,0.00078125,0,,,,0,0.0,32.921842800002196,8.60088579999865,11.95186349999858,0
11,fgsm_zero,0.6725782315995958,0.773377777756585,0.02886379105978542,0.509736242612203,0.30233333332803514,-0.46494020438724093,0.9129702530966864,0.03137257695198059,0.023404698573715157,0.664034058687422,32.660080999994534,0.19999999999999998,0.21994318181818182,352,1,0.5102,0.00078125,0,,,,0,0.0,32.660080999994534,9.03085270000156,11.9445979000011,0
12,fgsm_zero,0.682650479443868,0.773311111164093,nan,0.510228784529368,0.32700000002649093,-0.5110810355795754,0.9125382655991449,0.03137257695198059,0.021771743587652843,0.6469549033376906,32.53629550000187,0.21999999999999997,0.2399431818181818,352,1,0.5036,0.0,0,,,,0,0.0,32.53629550000187,8.747850799991284,11.450610100000631,0
13,fgsm_zero,0.7421743674914042,0.7547111111111111,nan,0.5102891148143345,0.2958444444656372,-0.3896096341583464,0.9135067978752984,0.03137257695198059,0.027483904991878402,0.6682464214324951,32.532099000003655,0.24,0.2599431818181818,352,1,0.5616,0.0,0,,,,0,0.0,32.532099000003655,8.494204700007685,11.641680800006725,0
