epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,fgsm_random_uniform,2.2844751647525365,0.14824444444709353,0.05024198440553414,0.5359791335953606,0.2520666666772631,0.2779277637614144,0.6013599231084188,0.03137257695198059,0.13104934778081045,0.8002874332427978,34.73789269999543,0.0,0.013295454545454548,352,1,0.2808,0.071875,0,,,,0,0.0,34.73789269999543,9.031916599997203,11.77103889999853,0
2,fgsm_random_uniform,1.8826555979410808,0.28742222222222225,0.13245678234365252,0.6074910791609023,0.1634888888809416,0.162968565275934,0.6045520094553629,0.03137257695198059,0.08149390004740821,0.746693772040473,34.012823600001866,0.013333333333333334,0.02662878787878788,352,1,0.3566,0.13828125,0,,,,0,0.0,34.012823600001866,8.53192749999289,11.722077500002342,0
3,fgsm_random_uniform,1.66323906794654,0.37788888891008166,0.05370521906216939,0.5617439648840162,0.21982222221427494,0.06772340076499515,0.601594992129008,0.03137257695198059,0.0806363848010699,0.7469049056688944,34.426606699998956,0.02666666666666667,0.03996212121212121,352,1,0.3104,0.134375,0,,,,0,0.0,34.426606699998956,8.521429000000353,11.46589939999103,0
4,fgsm_random_uniform,1.4068997546725803,0.4873333333545261,0.05235444239974022,0.5318600377612643,0.2513777777724796,0.0023346278932359485,0.5996626579814487,0.03137257695198059,0.06690506709814072,0.7280617114596897,34.51600980000512,0.04000000000000001,0.05329545454545455,352,1,0.4168,0.02734375,0,,,,0,0.0,34.51600980000512,8.589161700001569,11.831792199998745,0
5,fgsm_random_uniform,1.2307668871561686,0.5569333333333333,0.05517976144055525,0.5159001824378967,0.1926444444709354,0.056672022696998385,0.5991791289117602,0.03137257695198059,0.047061223969525764,0.7081008990499709,34.72454280000238,0.05333333333333334,0.06662878787878788,352,1,0.3236,0.034375,0,,,,0,0.0,34.72454280000238,8.425524599995697,11.796009500001674,0
6,fgsm_random_uniform,0.9293629096561008,0.6777777777671814,0.05314535112712118,0.5092502544297113,0.29286666666666666,-0.2747763386832343,0.5986638067669339,0.03137257695198059,0.021321473300788138,0.6328449466811286,33.88249849999556,0.06666666666666667,0.0799621212121212,352,1,0.393,0.0015625,0,,,,0,0.0,33.88249849999556,8.666182100001606,11.661124499994912,0
7,fgsm_random_uniform,0.7912917338159349,0.7286222222328186,nan,0.5056058094872369,0.2637333333359824,-0.2973907977686988,0.6003209629588657,0.03137257694602013,0.026135362842347888,0.6346765235053169,34.68898079999781,0.08000000000000002,0.09329545454545456,352,1,0.4994,0.0,0,,,,0,0.0,34.68898079999781,10.137990200004424,12.884902299992973,0
8,fgsm_random_uniform,0.7292583366711934,0.7522444444232517,0.03136070480313566,0.5063968921767341,0.22148888889418708,-0.2285354729493459,0.6000197457843357,0.03137257695198059,0.037730405957169005,0.713505092631446,34.13886289999937,0.09333333333333334,0.10662878787878789,352,1,0.4132,0.0,0,,,,0,0.0,34.13886289999937,8.907026500004577,11.40355649999401,0
9,fgsm_random_uniform,0.6532619941075642,0.7791777777883742,0.024623684870203336,0.5041586822456784,0.23771111110846202,-0.29770958393679725,0.6000953037261962,0.03137257695198059,0.04002722059024705,0.7193959703233507,34.31073019999894,0.10666666666666667,0.11996212121212123,352,1,0.4372,0.0,0,,,,0,0.0,34.31073019999894,8.757160200009821,12.213985900001717,0
10,fgsm_random_uniform,0.6035809905582004,0.7973777777883742,0.015613839197158813,0.5023803329679701,0.24448888889948528,-0.3432472024679184,0.6001053741031223,0.03137257695198059,0.04548729470703337,0.7311295725292629,34.00036989999353,0.12,0.13329545454545455,352,1,0.263,0.0,0,,,,0,0.0,34.00036989999353,8.789894900008221,11.542443800004548,0
