epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,fgsm_random_uniform,2.3037541376749675,0.11988888889153798,0.4952098303504288,0.6370379004372491,0.29095555555025737,0.2137436246421602,0.597312093618181,0.0627451241016388,0.14368045864767498,0.8097506343099806,34.492960900010075,0.0,0.013295454545454548,352,1,0.3042,0.15390625,0,,,,0,0.0,34.492960900010075,8.669979900005274,11.812380299990764,0
2,fgsm_random_uniform,2.1499308397081163,0.18806666666666666,0.8035890472730001,0.7618518229060702,0.25737777778307597,0.22880013000435298,0.6068855801582337,0.0627451241016388,0.05616343098017904,0.7108886093881395,34.248992499982705,0.013333333333333334,0.02662878787878788,352,1,0.2918,0.15703125,0,,,,0,0.0,34.248992499982705,10.17867630001274,12.46091150000575,0
3,fgsm_random_uniform,2.1061533677419026,0.2044222222328186,0.8026412312719557,0.7721902245627509,0.2613777777698305,0.2609626991536882,0.6093290765868293,0.0627451241016388,0.044130955360333124,0.6853716663360596,33.77898279999499,0.02666666666666667,0.03996212121212121,352,1,0.3796,0.18125,0,,,,0,0.0,33.77898279999499,8.94726359998458,11.501485600019805,0
4,fgsm_random_uniform,2.0622104588402643,0.21722222222222223,0.7961792805247837,0.7744940578672621,0.27475555553966097,0.28157824459605746,0.6093021967781914,0.0627451241016388,0.03776679335170322,0.6702129657109579,33.93435419999878,0.04000000000000001,0.05329545454545455,352,1,0.408,0.18125,0,,,,0,0.0,33.93435419999878,8.629546199983452,11.47848759999033,0
5,fgsm_random_uniform,2.0303583428700764,0.23117777777247958,0.7827403887006972,0.7704678663359747,0.2891111111111111,0.30414612612194486,0.6066722064971923,0.0627451241016388,0.03440973996784952,0.6636204601817661,33.86443909999798,0.05333333333333334,0.06662878787878788,352,1,0.4152,0.1859375,0,,,,0,0.0,33.86443909999798,8.649194099998567,11.390089399996214,0
6,fgsm_random_uniform,1.9965302619510228,0.24633333333598242,0.7721435633871291,0.76871228723526,0.2971555555820465,0.32452967504925195,0.6072104153315226,0.0627451241016388,0.03143707330491808,0.6565371739705403,33.73637619998772,0.06666666666666667,0.0799621212121212,352,1,0.4284,0.19140625,0,,,,0,0.0,33.73637619998772,8.799331500020344,11.454304700018838,0
7,fgsm_random_uniform,1.9663096211539375,0.2571333333333333,0.7597769641770257,0.7663658123864068,0.30202222224341496,0.34089868377049765,0.6067064511934916,0.0627451241016388,0.02891204583015707,0.6510962647861904,33.95654920002562,0.08000000000000002,0.09329545454545456,352,1,0.4236,0.18515625,0,,,,0,0.0,33.95654920002562,8.790173199988203,12.529660300002433,0
8,fgsm_random_uniform,1.9408269307666355,0.2660888888782925,0.7269856650988261,0.757947177028656,0.3080444444576899,0.3499841309282515,0.6049118096351623,0.0627451241016388,0.02521497471365664,0.6371916240904066,33.91215760001796,0.09333333333333334,0.10662878787878789,352,1,0.4676,0.2046875,0,,,,0,0.0,33.91215760001796,8.840494800009765,11.953387599991402,0
9,fgsm_random_uniform,1.9154598687489828,0.27566666665871936,0.6557842580861516,0.7435013145446777,0.30224444445504084,0.34023328077925574,0.6073578165372213,0.0627451241016388,0.0431228138797813,0.6898602372911241,36.55642479998642,0.10666666666666667,0.11996212121212123,352,1,0.4638,0.20234375,1,9,2836,2816,0,0.0,36.55642479998642,8.813676699995995,12.860336999990977,0
10,fgsm_random_uniform,1.700504042010837,0.3641999999894036,0.5063158767960138,0.6852956716696421,0.3081111111058129,0.19131902918948068,0.6047473642773098,0.0627451241016388,0.04103314076662064,0.6907321621365017,35.685197600018,0.12,0.13329545454545455,352,1,0.5234,0.0,1,9,2836,3168,0,0.0,35.685197600018,8.758433400013018,11.786909499991452,0
