epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,fgsm_random_uniform,2.1780162657843696,0.178022222243415,0.7578139581680298,0.768127674516042,0.21431111110316384,0.21236472578313614,0.6006680983225504,0.03137257695198059,0.12332887204223208,0.7997528594334921,34.00301539999782,0.0,0.019943181818181818,352,1,0.361,0.23046875,0,,,,0,0.0,34.00301539999782,9.553742699994473,11.43747240002267,0
2,fgsm_random_uniform,1.9340705478456286,0.265022222216924,0.9162432852956984,0.8592549318101671,0.20677777778572506,0.2600674345228407,0.6045284132851495,0.03137257695198059,0.07313388125896454,0.7567795420540704,34.127620599989314,0.02,0.039943181818181815,352,1,0.3936,0.24921875,0,,,,0,0.0,34.127620599989314,8.99202430000878,11.940095900004962,0
3,fgsm_random_uniform,1.846531326950921,0.3024888889047835,0.9111175089836121,0.8583968929714627,0.21686666667991214,0.305327050558726,0.6045193619410197,0.03137257695198059,0.06504652529160182,0.7483871070543925,33.50307080001221,0.04,0.05994318181818181,352,1,0.4862,0.265625,0,,,,0,0.0,33.50307080001221,8.950435100006871,11.740784199995687,0
4,fgsm_random_uniform,1.7505883724212647,0.33560000001324547,0.8972702326774598,0.8497073118315802,0.2374222222354677,0.3426720927927229,0.6032813782797919,0.03137257695198059,0.0628920029507743,0.747258099661933,34.28646860001027,0.06,0.07994318181818182,352,1,0.5378,0.29609375,0,,,,0,0.0,34.28646860001027,9.061407500004862,11.782282700005453,0
5,fgsm_random_uniform,1.6798886943181355,0.3592444444709354,0.8835972038798862,0.8404362747086419,0.25442222220632765,0.3660485443751017,0.6009660574595134,0.03137257695198059,0.061139051840702695,0.7451185938305325,33.938541999988956,0.08,0.0999431818181818,352,1,0.5574,0.3203125,0,,,,0,0.0,33.938541999988956,8.360218699992402,11.568589700007578,0
6,fgsm_random_uniform,1.6211789802551269,0.3806888889100816,0.869339773050944,0.8329615236388312,0.26080000002119275,0.3846133986737993,0.599929699198405,0.03137257694602013,0.05803885993162791,0.7410774809095595,33.70091080002021,0.09999999999999999,0.11994318181818181,352,1,0.5984,0.3234375,0,,,,0,0.0,33.70091080002021,8.493130999995628,11.44114539999282,0
7,fgsm_random_uniform,1.5772817256503635,0.3992666666560703,0.8560785665300157,0.8264308140330845,0.2682,0.39465911297798156,0.5982163678381178,0.03137257695198059,0.054411991459793516,0.7346191052542792,34.31072059998405,0.12,0.13994318181818183,352,1,0.5934,0.3109375,0,,,,0,0.0,34.31072059998405,8.453991499991389,11.189938499999698,0
8,fgsm_random_uniform,1.5543440233654446,0.40940000001589455,0.8445780534002516,0.8223470840348138,0.26988888890213436,0.404181973028183,0.5969494127591451,0.03137257695198059,0.05243540494243304,0.7304887045966254,32.18176669999957,0.13999999999999999,0.15994318181818182,352,1,0.6456,0.33984375,0,,,,0,0.0,32.18176669999957,8.359769500006223,11.399529299989808,0
9,fgsm_random_uniform,1.5332368797726101,0.41664444443384807,0.8322956655502319,0.8165488608996073,0.27168888891008164,0.4100936339378357,0.5950278913285997,0.03137257695198059,0.05019630974663628,0.7260797603183322,32.485247100004926,0.16,0.17994318181818184,352,1,0.6156,0.32890625,0,,,,0,0.0,32.485247100004926,8.542650000017602,11.631212799984496,0
10,fgsm_random_uniform,1.5329187914954292,0.4151333333386315,0.8240319809595744,0.8141794458813137,0.27580000002119276,0.4161686458375719,0.5946485588709514,0.03137257695198059,0.04824551506837209,0.7228200234413147,32.443756299995584,0.18,0.19994318181818183,352,1,0.6264,0.3515625,0,,,,0,0.0,32.443756299995584,9.083398699993268,11.267123900004663,0
