epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,pgd2_start_global_step,post_trigger_pgd_batches,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,fgsm_zero,2.2095703091515437,0.1692000000052982,0.7126993951002757,0.735592778216468,0.2109111111111111,0.20866660259564718,0.9151483556217618,0.03137257695198059,0.11748362103965547,0.7857039349450006,35.506836699991254,0.0,0.019943181818181818,352,1,0.3424,0.23828125,0,,,,,0,0,0.0,35.506836699991254,9.650221899995813,11.835023099993123,0
2,fgsm_zero,1.9927520585166083,0.24513333333598242,0.9022930496745639,0.8417693648338318,0.21360000002119275,0.25564207933743793,0.918094651889801,0.03137257695198059,0.06363153555525673,0.7357586914168464,32.70755590000772,0.02,0.039943181818181815,352,1,0.3828,0.27265625,0,,,,,0,0,0.0,32.70755590000772,8.927300400013337,12.037016400019638,0
3,fgsm_zero,1.9205985114627415,0.2710444444444444,0.8982579367637634,0.8452625212987264,0.22746666668785942,0.29301165972285803,0.9168341274049547,0.03137257695198059,0.057477552765607835,0.7305680218696594,32.44446870000684,0.04,0.05994318181818181,352,1,0.4518,0.2984375,0,,,,,0,0,0.0,32.44446870000684,9.05159950000234,11.994837699981872,0
4,fgsm_zero,1.836707036611769,0.2992666666666667,0.8861745388666789,0.838942092344496,0.24457777776188322,0.32857334649827746,0.9165792865859138,0.03137257695198059,0.05295241145822737,0.7260760556115045,32.759939599985955,0.06,0.07994318181818182,352,1,0.5066,0.31640625,0,,,,,0,0,0.0,32.759939599985955,9.399166699993657,11.81752559999586,0
5,fgsm_zero,1.7724480563905505,0.3246444444709354,0.8704852569474114,0.8315498971515232,0.261755555539661,0.3556727325545417,0.9145073332998488,0.03137257695198059,0.05323164922926161,0.729713469865587,32.80091209997772,0.08,0.0999431818181818,352,1,0.5292,0.33828125,0,,,,,0,0,0.0,32.80091209997772,9.014026099990588,12.896759499999462,0
6,fgsm_zero,1.7168212571250068,0.344422222243415,0.858278384452396,0.8239046836323208,0.27322222221162584,0.3769354482703739,0.9133836417516072,0.03137257695198059,0.051729427358839244,0.7279535317314996,32.59933960001217,0.09999999999999999,0.11994318181818181,352,1,0.5674,0.353125,0,,,,,0,0,0.0,32.59933960001217,9.665667200024473,12.961257100017974,0
7,fgsm_zero,1.6714493808746338,0.3604888888835907,0.8422757977273729,0.8170948177761502,0.2794000000132455,0.39184754359987045,0.9113521474944221,0.03137257695198059,0.047557138570812015,0.7203641058497958,33.732078200002434,0.12,0.13994318181818183,352,1,0.582,0.365625,0,,,,,0,0,0.0,33.732078200002434,9.434214600012638,12.977665099984733,0
8,fgsm_zero,1.642767623477512,0.3720222222222222,0.8302815482033623,0.8110504532072279,0.2874888888835907,0.4008961456987593,0.9094745432005988,0.03137257694602013,0.0445140616648727,0.7133377953529358,33.326993499998935,0.13999999999999999,0.15994318181818182,352,1,0.5658,0.33515625,0,,,,,0,0,0.0,33.326993499998935,8.847860600013519,11.956930999993347,0
9,fgsm_zero,1.6264709147135417,0.3770666666507721,0.816886111301846,0.805857643837399,0.2894000000052982,0.4070967554622226,0.9076176846398247,0.03137257695198059,0.0426194128036499,0.7088197993490432,33.04214370000409,0.16,0.17994318181818184,352,1,0.5842,0.34765625,0,,,,,0,0,0.0,33.04214370000409,9.314557000005152,12.095222600008128,0
10,fgsm_zero,1.6162503156873915,0.38477777779897054,0.8071000019285414,0.8021196816444397,0.29075555555555554,0.41286260423660276,0.9069012850019667,0.03137257695198059,0.04255114272501734,0.708712381807963,32.59884970000712,0.18,0.19994318181818183,352,1,0.568,0.359375,0,,,,,0,0,0.0,32.59884970000712,8.917369200004032,11.71280169999227,0
