feature,risk_direction,horizon_windows,eligible_windows,positive_windows,prevalence,auroc,auprc
free_gradient_cosine,-1,1,330,1,0.0030303030303030303,0.9908814589665653,0.25
free_gradient_cosine,-1,2,330,2,0.006060606060606061,0.9878048780487805,0.26785714285714285
free_gradient_cosine,-1,3,330,3,0.00909090909090909,0.9847094801223242,0.2785714285714286
free_gradient_sign_agreement,-1,1,330,1,0.0030303030303030303,0.9878419452887538,0.2
free_gradient_sign_agreement,-1,2,330,2,0.006060606060606061,0.9801829268292683,0.19090909090909092
free_gradient_sign_agreement,-1,3,330,3,0.00909090909090909,0.9765545361875637,0.20419580419580421
free_prediction_disagreement,1,1,330,1,0.0030303030303030303,0.0851063829787234,0.0033112582781456954
free_prediction_disagreement,1,2,330,2,0.006060606060606061,0.5259146341463414,0.04497792494481236
free_prediction_disagreement,1,3,330,3,0.00909090909090909,0.5193679918450561,0.03510510031295158
free_attack_loss_gain,-1,1,330,1,0.0030303030303030303,0.7963525835866262,0.014705882352941176
free_attack_loss_gain,-1,2,330,2,0.006060606060606061,0.44359756097560976,0.010686274509803922
free_attack_loss_gain,-1,3,330,3,0.00909090909090909,0.3720693170234455,0.010859966033657556
free_boundary_fraction,1,1,330,1,0.0030303030303030303,0.47112462006079026,0.005714285714285714
free_boundary_fraction,1,2,330,2,0.006060606060606061,0.34146341463414637,0.006703296703296703
free_boundary_fraction,1,3,330,3,0.00909090909090909,0.41896024464831805,0.010019743849531084
control_gradient_participation_ratio,-1,1,330,1,0.0030303030303030303,1.0,1.0
control_gradient_participation_ratio,-1,2,330,2,0.006060606060606061,0.9969512195121951,0.75
control_gradient_participation_ratio,-1,3,330,3,0.00909090909090909,0.9979612640163099,0.8055555555555555
control_gradient_entropy,-1,1,330,1,0.0030303030303030303,1.0,1.0
control_gradient_entropy,-1,2,330,2,0.006060606060606061,0.9954268292682927,0.7
control_gradient_entropy,-1,3,330,3,0.00909090909090909,0.9969418960244648,0.7555555555555555
train_adv_loss,-1,1,330,1,0.0030303030303030303,1.0,1.0
train_adv_loss,-1,2,330,2,0.006060606060606061,1.0,1.0
train_adv_loss,-1,3,330,3,0.00909090909090909,0.9949031600407747,0.7916666666666666
train_adv_acc,1,1,330,1,0.0030303030303030303,1.0,1.0
train_adv_acc,1,2,330,2,0.006060606060606061,0.9817073170731707,0.5666666666666667
train_adv_acc,1,3,330,3,0.00909090909090909,0.9765545361875637,0.4666666666666666
