feature,risk_direction,horizon_windows,eligible_windows,positive_windows,prevalence,auroc,auprc
free_gradient_cosine,-1,1,60,0,0.0,,
free_gradient_cosine,-1,2,60,0,0.0,,
free_gradient_cosine,-1,3,60,0,0.0,,
free_gradient_sign_agreement,-1,1,60,0,0.0,,
free_gradient_sign_agreement,-1,2,60,0,0.0,,
free_gradient_sign_agreement,-1,3,60,0,0.0,,
free_prediction_disagreement,1,1,60,0,0.0,,
free_prediction_disagreement,1,2,60,0,0.0,,
free_prediction_disagreement,1,3,60,0,0.0,,
free_attack_loss_gain,-1,1,60,0,0.0,,
free_attack_loss_gain,-1,2,60,0,0.0,,
free_attack_loss_gain,-1,3,60,0,0.0,,
free_boundary_fraction,1,1,60,0,0.0,,
free_boundary_fraction,1,2,60,0,0.0,,
free_boundary_fraction,1,3,60,0,0.0,,
control_gradient_participation_ratio,-1,1,60,0,0.0,,
control_gradient_participation_ratio,-1,2,60,0,0.0,,
control_gradient_participation_ratio,-1,3,60,0,0.0,,
control_gradient_entropy,-1,1,60,0,0.0,,
control_gradient_entropy,-1,2,60,0,0.0,,
control_gradient_entropy,-1,3,60,0,0.0,,
train_adv_loss,-1,1,60,0,0.0,,
train_adv_loss,-1,2,60,0,0.0,,
train_adv_loss,-1,3,60,0,0.0,,
train_adv_acc,1,1,60,0,0.0,,
train_adv_acc,1,2,60,0,0.0,,
train_adv_acc,1,3,60,0,0.0,,
