starting=resnet18_unprotected_fgsm_holdout_seed101 at=2026-09-04T10:29:17.8515129+08:00
epoch=001 loss=2.3675 clean=0.2580 pgd10=0.2062 diag_cos=0.9541 diag_disagree=0.0078 free_cos=0.4772 train_s=41.0 diag_s=8.3 pgd_s=12.0
epoch=002 loss=2.0931 clean=0.2994 pgd10=0.2320 diag_cos=0.9762 diag_disagree=0.0039 free_cos=0.8856 train_s=37.9 diag_s=8.6 pgd_s=11.5
epoch=003 loss=2.0006 clean=0.3946 pgd10=0.2648 diag_cos=0.9824 diag_disagree=0.0000 free_cos=0.8891 train_s=37.9 diag_s=8.0 pgd_s=11.5
epoch=004 loss=1.9295 clean=0.4334 pgd10=0.2797 diag_cos=0.9685 diag_disagree=0.0000 free_cos=0.8871 train_s=38.1 diag_s=8.4 pgd_s=11.8
epoch=005 loss=1.8724 clean=0.4658 pgd10=0.2867 diag_cos=0.9554 diag_disagree=0.0078 free_cos=0.8821 train_s=38.0 diag_s=9.2 pgd_s=12.4
epoch=006 loss=1.8223 clean=0.4632 pgd10=0.2906 diag_cos=0.9711 diag_disagree=0.0039 free_cos=0.8764 train_s=38.0 diag_s=8.2 pgd_s=11.4
epoch=007 loss=1.7721 clean=0.5382 pgd10=0.3203 diag_cos=0.9750 diag_disagree=0.0000 free_cos=0.8644 train_s=38.1 diag_s=8.0 pgd_s=11.6
epoch=008 loss=1.7291 clean=0.5442 pgd10=0.3180 diag_cos=0.9748 diag_disagree=0.0039 free_cos=0.8522 train_s=38.4 diag_s=8.0 pgd_s=11.6
epoch=009 loss=1.6992 clean=0.5926 pgd10=0.3375 diag_cos=0.9672 diag_disagree=0.0156 free_cos=0.8360 train_s=38.2 diag_s=8.8 pgd_s=11.6
epoch=010 loss=1.6771 clean=0.5870 pgd10=0.3547 diag_cos=0.9684 diag_disagree=0.0078 free_cos=0.8246 train_s=38.2 diag_s=8.8 pgd_s=11.9
epoch=011 loss=1.6675 clean=0.5592 pgd10=0.3195 diag_cos=0.9634 diag_disagree=0.0195 free_cos=0.8167 train_s=39.3 diag_s=8.8 pgd_s=11.6
epoch=012 loss=1.6627 clean=0.5608 pgd10=0.3266 diag_cos=0.9615 diag_disagree=0.0117 free_cos=0.8107 train_s=38.0 diag_s=8.0 pgd_s=11.5
epoch=013 loss=1.6602 clean=0.5594 pgd10=0.3031 diag_cos=0.9657 diag_disagree=0.0117 free_cos=0.8054 train_s=37.9 diag_s=8.2 pgd_s=11.5
epoch=014 loss=1.6645 clean=0.5170 pgd10=0.3109 diag_cos=0.9542 diag_disagree=0.0039 free_cos=0.8064 train_s=37.8 diag_s=8.2 pgd_s=11.5
epoch=015 loss=1.6587 clean=0.5750 pgd10=0.3461 diag_cos=0.9443 diag_disagree=0.0117 free_cos=0.7965 train_s=37.9 diag_s=8.2 pgd_s=11.9
epoch=016 loss=1.6438 clean=0.5770 pgd10=0.3172 diag_cos=0.9725 diag_disagree=0.0117 free_cos=0.7262 train_s=38.2 diag_s=8.8 pgd_s=11.9
epoch=017 loss=1.6378 clean=0.6054 pgd10=0.3570 diag_cos=0.9356 diag_disagree=0.0195 free_cos=0.7984 train_s=38.6 diag_s=9.2 pgd_s=12.3
epoch=018 loss=1.6010 clean=0.6148 pgd10=0.3141 diag_cos=0.9618 diag_disagree=0.0117 free_cos=0.6801 train_s=37.9 diag_s=8.0 pgd_s=11.5
epoch=019 loss=1.5922 clean=0.5842 pgd10=0.3453 diag_cos=0.9471 diag_disagree=0.0039 free_cos=0.7872 train_s=37.6 diag_s=7.8 pgd_s=11.5
epoch=020 loss=1.5665 clean=0.5920 pgd10=0.3391 diag_cos=0.9362 diag_disagree=0.0117 free_cos=0.7785 train_s=37.9 diag_s=8.2 pgd_s=11.7
epoch=021 loss=1.5382 clean=0.6506 pgd10=0.3664 diag_cos=0.8919 diag_disagree=0.0078 free_cos=0.7513 train_s=38.0 diag_s=8.2 pgd_s=12.7
epoch=022 loss=1.2506 clean=0.5808 pgd10=0.0695 diag_cos=0.0579 diag_disagree=0.1016 free_cos=0.3133 train_s=37.9 diag_s=8.2 pgd_s=11.7
epoch=023 loss=0.7629 clean=0.7072 pgd10=0.0000 diag_cos=0.0234 diag_disagree=0.1953 free_cos=0.0132 train_s=38.4 diag_s=8.0 pgd_s=11.5
epoch=024 loss=0.6921 clean=0.6868 pgd10=0.0000 diag_cos=0.0265 diag_disagree=0.1641 free_cos=0.0076 train_s=37.6 diag_s=8.2 pgd_s=11.4
epoch=025 loss=0.4668 clean=0.7194 pgd10=0.0008 diag_cos=0.0432 diag_disagree=0.1094 free_cos=-0.0019 train_s=37.7 diag_s=8.6 pgd_s=11.9
epoch=026 loss=0.3369 clean=0.7538 pgd10=0.0016 diag_cos=0.0531 diag_disagree=0.1211 free_cos=-0.0010 train_s=37.8 diag_s=8.2 pgd_s=12.3
epoch=027 loss=0.2879 clean=0.7726 pgd10=0.0016 diag_cos=0.0603 diag_disagree=0.1016 free_cos=-0.0013 train_s=38.4 diag_s=8.8 pgd_s=12.8
epoch=028 loss=0.2329 clean=0.8078 pgd10=0.0000 diag_cos=0.0436 diag_disagree=0.0664 free_cos=nan train_s=37.8 diag_s=8.0 pgd_s=11.5
epoch=029 loss=0.1751 clean=0.8324 pgd10=0.0000 diag_cos=0.0508 diag_disagree=0.0273 free_cos=nan train_s=38.0 diag_s=8.0 pgd_s=11.5
epoch=030 loss=0.1195 clean=0.8514 pgd10=0.0000 diag_cos=0.0474 diag_disagree=0.0664 free_cos=nan train_s=37.8 diag_s=8.2 pgd_s=11.7
