method,metric,mean,sample_std,seeds
Adaptive + rollback,final_clean,0.8295333333333333,0.005493025881363852,3
Adaptive + rollback,final_pgd10,0.46875,0.005122998847110956,3
Adaptive + rollback,training_minutes,18.825102898329753,0.9397151971075264,3
"Adaptive, no rollback",final_clean,0.8292,0.004915282290977809,3
"Adaptive, no rollback",final_pgd10,0.47161458333333334,0.00119337908722807,3
"Adaptive, no rollback",training_minutes,18.307289511663193,0.7528760671653992,3
Fixed switch epoch 13,final_clean,0.8318666666666666,0.0068537094579018375,3
Fixed switch epoch 13,final_pgd10,0.46510416666666665,0.0025113673856752526,3
Fixed switch epoch 13,training_minutes,19.227003288888195,0.045295690074941275,3
Fixed switch epoch 21,final_clean,0.8197333333333333,0.012265942007580766,3
Fixed switch epoch 21,final_pgd10,0.4583333333333333,0.010606985340841835,3
Fixed switch epoch 21,training_minutes,17.7002131600001,0.01703505901181051,3
Full PGD-2,final_clean,0.8340000000000001,0.010231324449942927,3
Full PGD-2,final_pgd10,0.47213541666666664,0.004709151385423221,3
Full PGD-2,training_minutes,21.575862415555658,0.17886382418152538,3
